System,Package,Class,Name, COMP, NOS, HLTH, HVOC, HEFF, HBUG, CREF, XMET, LMET, NLOC, NOA, MOD, HDIF, LOOP, EXCR, MDN, VDEC, NOPR, EXCT, VREF, CAST, TDN, HVOL, NAND
No System Name,org.bukkit,Achievement,Achievement,1,2,8,8,60,0.01,0,0,0,3,0,1,2.5,0,0,0,0,5,0,1,0,0,24,3
No System Name,org.bukkit,Achievement,Achievement,1,2,12,9,228.23,0.01,1,0,0,3,1,1,6,0,0,0,0,6,0,2,0,0,38.04,6
No System Name,org.bukkit.command.defaults,AchievementCommand,AchievementCommand,1,5,26,16,374.4,0.03,0,0,1,6,0,1,3.6,0,0,0,0,14,0,2,0,0,104,12
No System Name,org.bukkit.util,Java15Compat,Arrays_copyOfRange,3,10,103,41,11676.18,0.18,6,7,0,13,3,3,21.16,0,0,2,3,54,0,19,1,2,551.83,49
No System Name,org.bukkit,Art,Art,1,4,28,12,803.03,0.03,0,0,0,5,3,1,8,0,0,0,0,12,0,6,0,0,100.38,16
No System Name,org.bukkit.event.player,AsyncPlayerChatEvent,AsyncPlayerChatEvent,1,4,34,21,1008.04,0.05,3,0,0,5,4,1,6.75,0,0,0,0,16,0,6,0,0,149.34,18
No System Name,org.bukkit.event.player,AsyncPlayerPreLoginEvent,AsyncPlayerPreLoginEvent,1,2,18,14,257,0.02,2,0,1,3,2,2,3.75,0,0,0,0,8,0,2,0,0,68.53,10
No System Name,org.bukkit.event.player,AsyncPlayerPreLoginEvent,AsyncPlayerPreLoginEvent,1,7,49,22,1274.65,0.07,4,0,0,8,3,1,5.83,0,0,0,0,24,0,9,0,0,218.51,25
No System Name,org.bukkit.plugin,AuthorNagException,AuthorNagException,1,2,13,11,236.11,0.01,1,0,0,3,1,1,5.25,0,0,0,0,7,0,2,0,0,44.97,6
No System Name,org.bukkit.command.defaults,BanCommand,BanCommand,1,5,26,16,374.4,0.03,0,0,1,6,0,1,3.6,0,0,0,0,14,0,2,0,0,104,12
No System Name,org.bukkit.command.defaults,BanIpCommand,BanIpCommand,1,5,26,16,374.4,0.03,0,0,1,6,0,1,3.6,0,0,0,0,14,0,2,0,0,104,12
No System Name,org.bukkit.command.defaults,BanListCommand,BanListCommand,1,5,26,16,374.4,0.03,0,0,1,6,0,1,3.6,0,0,0,0,14,0,2,0,0,104,12
