Package,Class,Name,COMP,NOA,VDEC,VREF,HLTH,HVOC,HVOL,HDIF,HEFF,HBUG,CAST,NOPR,NAND,CREF,XMET,LMET,EXCR,EXCT,MOD,NLOC
org.bukkit.material,PistonExtensionMaterial,PistonExtensionMaterial,1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,1,0,0,0,2,2
org.bukkit.material,PistonExtensionMaterial,PistonExtensionMaterial,1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,1,0,0,0,1,2
org.bukkit.material,PistonExtensionMaterial,PistonExtensionMaterial,1,2,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,1,0,0,0,2,2
org.bukkit.material,PistonExtensionMaterial,PistonExtensionMaterial,1,2,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4,1,0,0,0,2,2
org.bukkit.material,PistonExtensionMaterial,setFacingDirection,1,1,2,3,36.0,11.0,124.53953827094271,18.0,2241.7116888769688,0.04151317942364757,0,12,24,3,1,2,0,0,1,13
org.bukkit.material,PistonExtensionMaterial,getFacing,1,0,1,2,6.0,5.0,13.931568569324174,1.0,13.931568569324174,0.004643856189774725,0,2,4,2,0,1,0,0,1,9
org.bukkit.material,PistonExtensionMaterial,isSticky,2,0,0,1,3.0,3.0,4.754887502163469,0.0,0.0,0.0015849625007211565,0,1,2,1,0,1,0,0,1,1
org.bukkit.material,PistonExtensionMaterial,setSticky,2,1,1,2,6.0,4.0,12.0,2.0,24.0,0.004,0,2,4,1,0,2,0,0,1,2
org.bukkit.material,PistonExtensionMaterial,getAttachedFace,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,1,1,0,0,1,1
org.bukkit.material,PistonExtensionMaterial,clone,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,2,1,0,0,0,1,1
org.bukkit.material,PistonExtensionMaterial,clone,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,3,1
org.bukkit.material,PistonExtensionMaterial,clone,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,1,1,3,1
org.bukkit.material,MaterialData,MaterialData,1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,1,0,0,2,2
org.bukkit.material,MaterialData,MaterialData,1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,1,0,0,1,2
org.bukkit.material,MaterialData,MaterialData,1,2,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,1,0,0,0,2,5
org.bukkit.material,MaterialData,MaterialData,1,2,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,1,1,0,0,2,2
org.bukkit.material,MaterialData,getData,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,0,0,0,2,1
org.bukkit.material,MaterialData,setData,1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,0,0,0,2,2
org.bukkit.material,MaterialData,getItemType,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,1,0,0,0,1,1
org.bukkit.material,MaterialData,getItemTypeId,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,0,0,0,2,1
org.bukkit.material,MaterialData,toItemStack,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,1,0,0,0,1,1
org.bukkit.material,MaterialData,toItemStack,1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,1,0,0,0,1,1
org.bukkit.material,MaterialData,toString,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,5,2,0,0,1,1
org.bukkit.material,MaterialData,hashCode,1,0,0,1,6.0,5.0,13.931568569324174,1.0,13.931568569324174,0.004643856189774725,0,2,4,1,0,2,0,0,1,1
org.bukkit.material,MaterialData,equals,3,1,2,3,4.0,4.0,8.0,1.0,8.0,0.0026666666666666666,1,2,2,2,0,2,0,0,1,4
org.bukkit.material,MaterialData,clone,1,0,1,2,3.0,2.0,3.0,0.0,0.0,0.001,1,1,2,4,2,0,1,0,1,3
org.bukkit.material,MaterialData,clone,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,1,1,3,1
org.bukkit.material,Attachable,getAttachedFace,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0
org.bukkit.material,Directional,setFacingDirection,2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0
org.bukkit.material,Directional,getFacing,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0
org.bukkit.material,Redstone,isPowered,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0
org.bukkit.material,DetectorRail,DetectorRail,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,1,0,0,0,1,2
org.bukkit.material,DetectorRail,DetectorRail,1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,1,0,0,0,2,2
org.bukkit.material,DetectorRail,DetectorRail,1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,1,0,0,0,1,2
org.bukkit.material,DetectorRail,DetectorRail,1,2,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,1,0,0,0,2,2
org.bukkit.material,DetectorRail,DetectorRail,1,2,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4,1,0,0,0,2,2
org.bukkit.material,DetectorRail,isPressed,2,0,0,1,3.0,3.0,4.754887502163469,0.0,0.0,0.0015849625007211565,0,1,2,1,0,1,0,0,1,1
org.bukkit.material,DetectorRail,setPressed,2,1,1,2,6.0,4.0,12.0,2.0,24.0,0.004,0,2,4,1,0,2,0,0,1,2
org.bukkit.material,DetectorRail,clone,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,2,1,0,0,0,1,1
org.bukkit.material,DetectorRail,clone,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,3,1
org.bukkit.material,DetectorRail,clone,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,3,1
org.bukkit.material,DetectorRail,clone,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,3,1
org.bukkit.material,DetectorRail,clone,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,1,1,3,1
org.bukkit.material,ExtendedRails,ExtendedRails,1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,1,0,0,0,2,2
org.bukkit.material,ExtendedRails,ExtendedRails,1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,1,0,0,0,1,2
org.bukkit.material,ExtendedRails,ExtendedRails,1,2,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,1,0,0,0,2,2
org.bukkit.material,ExtendedRails,ExtendedRails,1,2,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4,1,0,0,0,2,2
org.bukkit.material,ExtendedRails,isCurve,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,1
org.bukkit.material,ExtendedRails,getConvertedData,1,0,0,1,3.0,3.0,4.754887502163469,0.0,0.0,0.0015849625007211565,0,1,2,2,0,1,0,0,2,1
org.bukkit.material,ExtendedRails,setDirection,4,2,3,4,12.0,6.0,31.019550008653873,4.0,124.07820003461549,0.010339850002884624,0,4,8,4,2,2,1,0,1,6
org.bukkit.material,ExtendedRails,clone,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,2,1,0,0,0,1,1
