System,Package,Class,Name, COMP, NOS, HLTH, HVOC, HEFF, HBUG, CREF, XMET, LMET, NLOC, NOA, MOD, HDIF, LOOP, EXCR, MDN, VDEC, NOPR, EXCT, VREF, CAST, TDN, HVOL, NAND
"No System Name","org.apache.commons.codec.language","AbstractCaverphone","AbstractCaverphone",1,2,7,6,36.19,0.01,0,0,0,3,0,1,2.00,0,0,0,0,5,0,0,0,0,18.09,2
"No System Name","org.apache.commons.codec.net","BCodec","BCodec",1,2,10,9,79.25,0.01,1,0,1,3,0,1,2.50,0,0,0,0,6,0,1,0,0,31.70,4
"No System Name","org.apache.commons.codec.net","BCodec","BCodec",1,2,15,12,188.21,0.02,2,1,1,3,1,1,3.50,0,0,0,0,8,0,1,0,0,53.77,7
"No System Name","org.apache.commons.codec.net","BCodec","BCodec",1,2,13,11,236.11,0.01,1,0,0,3,1,1,5.25,0,0,0,0,7,0,2,0,0,44.97,6
"No System Name","org.apache.commons.codec.binary","Base32","Base32",1,2,8,7,44.92,0.01,0,0,1,3,0,1,2.00,0,0,0,0,5,0,0,0,0,22.46,3
"No System Name","org.apache.commons.codec.binary","Base32","Base32",1,2,14,12,143.40,0.02,0,0,1,3,1,1,2.86,0,0,0,0,6,0,2,0,0,50.19,8
"No System Name","org.apache.commons.codec.binary","Base32","Base32",1,2,17,13,196.59,0.02,0,0,1,3,2,1,3.12,0,0,0,0,7,0,2,0,0,62.91,10
"No System Name","org.apache.commons.codec.binary","Base32","Base32",1,2,12,10,119.59,0.01,0,0,1,3,1,1,3.00,0,0,0,0,6,0,1,0,0,39.86,6
"No System Name","org.apache.commons.codec.binary","Base32","Base32",1,2,12,10,119.59,0.01,0,0,1,3,1,1,3.00,0,0,0,0,6,0,2,0,0,39.86,6
"No System Name","org.apache.commons.codec.binary","Base32","Base32",1,2,18,14,257.00,0.02,0,0,1,3,2,1,3.75,0,0,0,0,8,0,3,0,0,68.53,10
