System,Package,Class,Name, COMP, NOS, HLTH, HVOC, HEFF, HBUG, CREF, XMET, LMET, NLOC, NOA, MOD, HDIF, LOOP, EXCR, MDN, VDEC, NOPR, EXCT, VREF, CAST, TDN, HVOL, NAND
"No System Name","org.apache.commons.io.filefilter","AgeFileFilter","AgeFileFilter",1,2,12,10,119.59,0.01,1,0,1,3,1,1,3.00,0,0,0,0,6,0,1,0,0,39.86,6
"No System Name","org.apache.commons.io.filefilter","AgeFileFilter","AgeFileFilter",1,2,18,13,256.92,0.02,1,1,1,3,2,1,3.86,0,0,0,0,9,0,2,0,0,66.61,9
"No System Name","org.apache.commons.io.filefilter","AgeFileFilter","AgeFileFilter",1,2,12,10,119.59,0.01,1,0,1,3,1,1,3.00,0,0,0,0,6,0,1,0,0,39.86,6
"No System Name","org.apache.commons.io.filefilter","AgeFileFilter","AgeFileFilter",1,2,18,13,256.92,0.02,1,1,1,3,2,1,3.86,0,0,0,0,9,0,2,0,0,66.61,9
"No System Name","org.apache.commons.io.filefilter","AgeFileFilter","AgeFileFilter",1,2,12,10,119.59,0.01,0,0,1,3,1,1,3.00,0,0,0,0,6,0,1,0,0,39.86,6
"No System Name","org.apache.commons.io.filefilter","AgeFileFilter","AgeFileFilter",1,3,22,13,522.38,0.03,0,0,0,4,2,1,6.42,0,0,0,0,11,0,4,0,0,81.41,11
"No System Name","org.apache.commons.io.filefilter","AndFileFilter","AndFileFilter",1,2,14,13,233.13,0.02,1,1,0,3,0,1,4.50,0,0,0,0,10,0,1,0,0,51.81,4
"No System Name","org.apache.commons.io.filefilter","AndFileFilter","AndFileFilter",2,6,45,26,2344.34,0.07,3,2,1,8,2,1,11.08,0,0,1,0,26,0,5,0,1,211.52,19
"No System Name","org.apache.commons.io.filefilter","AndFileFilter","AndFileFilter",2,4,39,20,2034.70,0.06,3,1,0,7,1,1,12.07,0,0,1,0,26,0,4,0,2,168.56,13
"No System Name","org.apache.commons.io.output","AppendableOutputStream","AppendableOutputStream",1,2,12,10,179.38,0.01,1,0,0,3,1,1,4.50,0,0,0,0,6,0,2,0,0,39.86,6
"No System Name","org.apache.commons.io.input","AutoCloseInputStream","AutoCloseInputStream",1,2,11,9,108.97,0.01,1,0,0,3,1,1,3.12,0,0,0,0,6,0,1,0,0,34.87,5
"No System Name","org.apache.commons.io.input","BOMInputStream","BOMInputStream",1,2,15,13,190.31,0.02,2,0,1,3,1,1,3.43,0,0,0,0,7,0,2,0,0,55.51,8
"No System Name","org.apache.commons.io.input","BOMInputStream","BOMInputStream",1,2,18,14,257.00,0.02,2,0,1,3,2,1,3.75,0,0,0,0,8,0,3,0,0,68.53,10
"No System Name","org.apache.commons.io.input","BOMInputStream","BOMInputStream",2,7,59,31,2955.45,0.10,4,3,0,9,3,1,10.11,0,0,1,0,31,0,10,0,1,292.30,28
"No System Name","org.apache.commons.io.input","BOMInputStream","BOMInputStream",1,2,17,13,242.64,0.02,2,0,1,3,2,1,3.86,0,0,0,0,8,0,2,0,0,62.91,9
"No System Name","org.apache.commons.io.input","BoundedInputStream","BoundedInputStream",1,2,12,10,119.59,0.01,2,0,1,3,1,1,3.00,0,0,0,0,6,0,1,0,0,39.86,6
"No System Name","org.apache.commons.io.input","BoundedInputStream","BoundedInputStream",1,3,22,14,460.69,0.03,1,0,0,4,2,1,5.50,0,0,0,0,11,0,4,0,0,83.76,11
"No System Name","org.apache.commons.io.input","BoundedReader","BoundedReader",1,3,22,14,502.57,0.03,1,0,0,4,2,1,6.00,0,0,0,0,10,0,4,0,0,83.76,12
"No System Name","org.apache.commons.io.input","BrokenInputStream","BrokenInputStream",1,2,11,9,87.17,0.01,1,1,1,3,0,1,2.50,0,0,0,0,7,0,0,0,0,34.87,4
"No System Name","org.apache.commons.io.input","BrokenInputStream","BrokenInputStream",1,2,13,11,236.11,0.01,1,0,0,3,1,1,5.25,0,0,0,0,7,0,2,0,0,44.97,6
"No System Name","org.apache.commons.io.output","BrokenOutputStream","BrokenOutputStream",1,2,11,9,87.17,0.01,1,1,1,3,0,1,2.50,0,0,0,0,7,0,0,0,0,34.87,4
"No System Name","org.apache.commons.io.output","BrokenOutputStream","BrokenOutputStream",1,2,13,11,236.11,0.01,1,0,0,3,1,1,5.25,0,0,0,0,7,0,2,0,0,44.97,6
"No System Name","org.apache.commons.io.output","ByteArrayOutputStream","ByteArrayOutputStream",1,2,8,7,44.92,0.01,0,0,1,3,0,1,2.00,0,0,0,0,5,0,1,0,0,22.46,3
"No System Name","org.apache.commons.io.output","ByteArrayOutputStream","ByteArrayOutputStream",2,5,29,19,931.62,0.04,1,1,1,9,1,1,7.56,0,0,1,0,18,0,3,0,2,123.19,11
"No System Name","org.apache.commons.io","ByteOrderMark","ByteOrderMark",3,8,77,29,6109.72,0.12,3,3,0,11,2,1,16.33,0,0,1,0,42,0,14,0,2,374.06,35
"No System Name","org.apache.commons.io.filefilter","CanReadFileFilter","CanReadFileFilter",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","org.apache.commons.io.filefilter","CanWriteFileFilter","CanWriteFileFilter",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","org.apache.commons.io","DirectoryWalker$CancelException","CancelException",1,2,16,12,184.37,0.02,1,0,1,3,2,1,3.21,0,0,0,0,7,0,2,0,0,57.36,9
"No System Name","org.apache.commons.io","DirectoryWalker$CancelException","CancelException",1,4,29,16,676.67,0.04,2,0,0,5,3,1,5.83,0,0,0,0,14,0,5,0,0,116.00,15
"No System Name","org.apache.commons.io.input","CharSequenceInputStream","CharSequenceInputStream",1,2,16,12,184.37,0.02,2,0,1,3,2,1,3.21,0,0,0,0,7,0,3,0,0,57.36,9
"No System Name","org.apache.commons.io.input","CharSequenceInputStream","CharSequenceInputStream",1,2,23,16,358.80,0.03,3,1,1,3,3,1,3.90,0,0,0,0,10,0,3,0,0,92.00,13
"No System Name","org.apache.commons.io.input","CharSequenceInputStream","CharSequenceInputStream",1,2,16,12,184.37,0.02,2,0,1,3,2,1,3.21,0,0,0,0,7,0,3,0,0,57.36,9
"No System Name","org.apache.commons.io.input","CharSequenceInputStream","CharSequenceInputStream",2,11,103,42,5331.92,0.19,6,6,0,16,3,1,9.60,0,0,1,1,55,0,18,0,1,555.41,48
"No System Name","org.apache.commons.io.input","CharSequenceReader","CharSequenceReader",1,2,19,16,570.00,0.03,1,0,0,3,1,1,7.50,0,0,0,0,10,0,3,0,0,76.00,9
"No System Name","org.apache.commons.io.output","ChunkedOutputStream","ChunkedOutputStream",1,2,12,10,119.59,0.01,1,0,1,3,1,1,3.00,0,0,0,0,6,0,2,0,0,39.86,6
"No System Name","org.apache.commons.io.output","ChunkedOutputStream","ChunkedOutputStream",2,5,30,20,1030.06,0.04,2,1,0,7,2,1,7.94,0,0,1,0,17,0,4,0,1,129.66,13
"No System Name","org.apache.commons.io.output","ChunkedWriter","ChunkedWriter",1,2,12,10,119.59,0.01,1,0,1,3,1,1,3.00,0,0,0,0,6,0,2,0,0,39.86,6
"No System Name","org.apache.commons.io.output","ChunkedWriter","ChunkedWriter",2,5,30,20,1030.06,0.04,2,1,0,7,2,1,7.94,0,0,1,0,17,0,4,0,1,129.66,13
"No System Name","org.apache.commons.io.input","ClassLoaderObjectInputStream","ClassLoaderObjectInputStream",1,3,23,17,501.40,0.03,2,0,0,6,2,1,5.33,0,0,0,0,11,0,3,0,0,94.01,12
"No System Name","org.apache.commons.io.input","CloseShieldInputStream","CloseShieldInputStream",1,2,11,9,108.97,0.01,1,0,0,3,1,1,3.12,0,0,0,0,6,0,1,0,0,34.87,5
"No System Name","org.apache.commons.io.output","CloseShieldOutputStream","CloseShieldOutputStream",1,2,11,9,108.97,0.01,1,0,0,3,1,1,3.12,0,0,0,0,6,0,1,0,0,34.87,5
