Package,Class,Name,COMP,NOA,VDEC,VREF,HLTH,HVOC,HVOL,HDIF,HEFF,HBUG,CAST,NOPR,NAND,CREF,XMET,LMET,EXCR,EXCT,MOD,NLOC
org.apache.commons.io.filefilter,WildcardFileFilter,WildcardFileFilter,1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,0,1,0,0,1,2
org.apache.commons.io.filefilter,WildcardFileFilter,WildcardFileFilter,3,2,2,3,3.0,1.0,0.0,0.0,0.0,0.0,0,1,2,5,2,0,1,0,1,6
org.apache.commons.io.filefilter,WildcardFileFilter,WildcardFileFilter,1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,0,1,0,0,1,2
org.apache.commons.io.filefilter,WildcardFileFilter,WildcardFileFilter,3,2,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,6,3,0,1,0,1,7
org.apache.commons.io.filefilter,WildcardFileFilter,WildcardFileFilter,1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,0,1,0,0,1,2
org.apache.commons.io.filefilter,WildcardFileFilter,WildcardFileFilter,3,2,2,3,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,7,4,0,1,0,1,6
org.apache.commons.io.filefilter,WildcardFileFilter,accept,3,2,3,6,14.0,8.0,42.0,2.0,84.0,0.014,0,5,9,4,1,0,0,0,1,4
org.apache.commons.io.filefilter,WildcardFileFilter,accept,3,1,3,7,17.0,10.0,56.472777613085164,3.0,169.4183328392555,0.01882425920436172,0,6,11,4,2,0,0,0,1,5
org.apache.commons.io.filefilter,WildcardFileFilter,toString,4,0,2,3,8.0,6.0,20.67970000576925,1.0,20.67970000576925,0.006893233335256416,0,3,5,3,4,0,0,0,1,10
org.apache.commons.io.filefilter,AbstractFileFilter,AbstractFileFilter,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,1,0,0,0,1,1
org.apache.commons.io.filefilter,AbstractFileFilter,accept,1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,2,1,0,0,1,1
org.apache.commons.io.filefilter,AbstractFileFilter,accept,1,2,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,1,1,0,0,1,1
org.apache.commons.io.filefilter,AbstractFileFilter,toString,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,2,0,0,0,1,1
org.apache.commons.io.filefilter,IOFileFilter,accept,2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0
org.apache.commons.io.filefilter,IOFileFilter,accept,2,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0
org.apache.commons.io.filefilter,CanWriteFileFilter,CanWriteFileFilter,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,1,0,0,0,1,2
org.apache.commons.io.filefilter,CanWriteFileFilter,accept,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,1,0,0,0,1,1
org.apache.commons.io.filefilter,EmptyFileFilter,EmptyFileFilter,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,1,0,0,0,1,2
org.apache.commons.io.filefilter,EmptyFileFilter,accept,5,1,2,2,3.0,3.0,4.754887502163469,0.0,0.0,0.0015849625007211565,0,1,2,2,3,0,0,0,1,4
org.apache.commons.io.filefilter,NameFileFilter,NameFileFilter,1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,1,0,0,1,2
org.apache.commons.io.filefilter,NameFileFilter,NameFileFilter,3,2,2,3,3.0,1.0,0.0,0.0,0.0,0.0,0,1,2,5,2,0,1,0,1,6
org.apache.commons.io.filefilter,NameFileFilter,NameFileFilter,1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,1,0,0,1,2
org.apache.commons.io.filefilter,NameFileFilter,NameFileFilter,3,2,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,6,3,0,1,0,1,7
org.apache.commons.io.filefilter,NameFileFilter,NameFileFilter,1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,1,0,0,1,2
org.apache.commons.io.filefilter,NameFileFilter,NameFileFilter,3,2,2,3,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,7,4,0,1,0,1,6
org.apache.commons.io.filefilter,NameFileFilter,accept,3,1,3,7,17.0,10.0,56.472777613085164,3.0,169.4183328392555,0.01882425920436172,0,6,11,4,2,0,0,0,1,5
org.apache.commons.io.filefilter,NameFileFilter,accept,3,2,3,6,14.0,8.0,42.0,2.0,84.0,0.014,0,5,9,4,1,0,0,0,1,4
org.apache.commons.io.filefilter,NameFileFilter,toString,4,0,2,3,8.0,6.0,20.67970000576925,1.0,20.67970000576925,0.006893233335256416,0,3,5,3,4,0,0,0,1,10
org.apache.commons.io.filefilter,FalseFileFilter,FalseFileFilter,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,1,0,0,0,1,2
org.apache.commons.io.filefilter,FalseFileFilter,accept,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,0,0,0,1,1
org.apache.commons.io.filefilter,FalseFileFilter,accept,1,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,0,0,0,0,1,1
org.apache.commons.io.filefilter,PrefixFileFilter,PrefixFileFilter,1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,0,1,0,0,1,2
org.apache.commons.io.filefilter,PrefixFileFilter,PrefixFileFilter,3,2,2,3,3.0,1.0,0.0,0.0,0.0,0.0,0,1,2,5,2,0,1,0,1,6
org.apache.commons.io.filefilter,PrefixFileFilter,PrefixFileFilter,1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,0,1,0,0,1,2
org.apache.commons.io.filefilter,PrefixFileFilter,PrefixFileFilter,3,2,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,6,3,0,1,0,1,7
org.apache.commons.io.filefilter,PrefixFileFilter,PrefixFileFilter,1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,0,1,0,0,1,2
