System,Package,Class,Name, COMP, NOS, HLTH, HVOC, HEFF, HBUG, CREF, XMET, LMET, NLOC, NOA, MOD, HDIF, LOOP, EXCR, MDN, VDEC, NOPR, EXCT, VREF, CAST, TDN, HVOL, NAND
"No System Name","org.apache.commons.lang3.text.translate","EntityArrays","APOS_ESCAPE",1,2,14,0,0.00,0.00,2,1,0,1,0,2,0.00,0,0,0,0,10,0,0,0,0,0.00,4
"No System Name","org.apache.commons.lang3.text.translate","EntityArrays","APOS_UNESCAPE",1,2,14,0,0.00,0.00,2,1,0,1,0,2,0.00,0,0,0,0,10,0,0,0,0,0.00,4
"No System Name","org.apache.commons.lang3.text.translate","AggregateTranslator","AggregateTranslator",1,2,18,0,0.00,0.00,2,1,0,3,1,1,0.00,0,0,0,0,10,0,2,0,0,0.00,8
"No System Name","org.apache.commons.lang3","ThreadUtils$AlwaysTruePredicate","AlwaysTruePredicate",1,1,4,0,0.00,0.00,0,0,0,2,0,1,0.00,0,0,0,0,3,0,0,0,0,0.00,1
"No System Name","org.apache.commons.lang3","AnnotationUtils","AnnotationUtils",1,1,4,0,0.00,0.00,0,0,0,2,0,1,0.00,0,0,0,0,3,0,0,0,0,0.00,1
"No System Name","org.apache.commons.lang3","ArrayUtils","ArrayUtils",1,2,7,0,0.00,0.00,0,0,0,3,0,1,0.00,0,0,0,0,5,0,0,0,0,0.00,2
"No System Name","org.apache.commons.lang3.text.translate","EntityArrays","BASIC_ESCAPE",1,2,14,0,0.00,0.00,2,1,0,1,0,2,0.00,0,0,0,0,10,0,0,0,0,0.00,4
"No System Name","org.apache.commons.lang3.text.translate","EntityArrays","BASIC_UNESCAPE",1,2,14,0,0.00,0.00,2,1,0,1,0,2,0.00,0,0,0,0,10,0,0,0,0,0.00,4
"No System Name","org.apache.commons.lang3.concurrent","BackgroundInitializer","BackgroundInitializer",1,2,8,0,0.00,0.00,0,0,1,3,0,1,0.00,0,0,0,0,5,0,0,0,0,0.00,3
"No System Name","org.apache.commons.lang3.concurrent","BackgroundInitializer","BackgroundInitializer",1,2,11,0,0.00,0.00,1,0,1,3,1,1,0.00,0,0,0,0,6,0,1,0,0,0.00,5
"No System Name","org.apache.commons.lang3.concurrent","BasicThreadFactory","BasicThreadFactory",2,9,60,0,0.00,0.00,3,2,0,12,1,1,0.00,0,0,1,0,34,0,19,0,2,0.00,26
"No System Name","org.apache.commons.lang3","BitField","BitField",3,9,47,0,0.00,0.00,0,0,0,12,1,1,0.00,1,0,2,2,26,0,9,0,2,0.00,21
"No System Name","org.apache.commons.lang3","BooleanUtils","BooleanUtils",1,2,7,0,0.00,0.00,0,0,0,3,0,1,0.00,0,0,0,0,5,0,0,0,0,0.00,2
"No System Name","org.apache.commons.lang3","ObjectUtils","CONST",1,2,15,0,0.00,0.00,1,0,0,1,1,2,0.00,0,0,0,0,9,0,1,0,0,0.00,6
"No System Name","org.apache.commons.lang3","ObjectUtils","CONST",1,2,12,0,0.00,0.00,0,0,0,1,1,2,0.00,0,0,0,0,7,0,1,0,0,0.00,5
