Package,Class,Name,COMP,NOA,VDEC,VREF,HLTH,HVOC,HVOL,HDIF,HEFF,HBUG,CAST,NOPR,NAND,CREF,XMET,LMET,EXCR,EXCT,MOD,NLOC
org.apache.commons.lang3.builder,Diff,Diff,1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,9,6,0,0,0,1,6
org.apache.commons.lang3.builder,Diff,getType,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,2,1
org.apache.commons.lang3.builder,Diff,getFieldName,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,2,1
org.apache.commons.lang3.builder,Diff,toString,1,0,0,1,9.0,1.0,0.0,0.0,0.0,0.0,0,3,6,3,1,2,0,0,2,1
org.apache.commons.lang3.builder,Diff,setValue,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,1,0,1,0,2,1
org.apache.commons.lang3.builder,ToStringBuilder,getDefaultStyle,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,2,1
org.apache.commons.lang3.builder,ToStringBuilder,setDefaultStyle,2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,1,0,1,0,2,4
org.apache.commons.lang3.builder,ToStringBuilder,reflectionToString,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,1,0,0,0,2,1
org.apache.commons.lang3.builder,ToStringBuilder,reflectionToString,1,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,1,0,0,0,2,1
org.apache.commons.lang3.builder,ToStringBuilder,reflectionToString,1,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,1,0,0,0,2,1
org.apache.commons.lang3.builder,ToStringBuilder,reflectionToString,1,4,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4,1,0,0,0,2,1
org.apache.commons.lang3.builder,ToStringBuilder,ToStringBuilder,1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,1,0,0,1,2
