System,Package,Class,Name, COMP, NOS, HLTH, HVOC, HEFF, HBUG, CREF, XMET, LMET, NLOC, NOA, MOD, HDIF, LOOP, EXCR, MDN, VDEC, NOPR, EXCT, VREF, CAST, TDN, HVOL, NAND
"No System Name","com.evernote.edam.type","Accounting","Accounting",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.evernote.edam.type","Accounting","Accounting",10,34,269,47,16081.16,0.50,2,10,0,44,1,1,10.76,0,0,1,0,146,0,84,0,9,1494.18,123
"No System Name","com.evernote.auth","AuthException","AuthException",1,2,10,8,54.00,0.01,1,0,0,3,1,0,1.80,0,0,0,0,4,0,1,0,0,30.00,6
"No System Name","com.evernote.auth","AuthException","AuthException",1,2,12,9,76.08,0.01,2,0,0,3,2,0,2.00,0,0,0,0,4,0,2,0,0,38.04,8
"No System Name","com.evernote.edam.userstore","AuthenticationResult","AuthenticationResult",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.evernote.edam.userstore","AuthenticationResult","AuthenticationResult",7,17,150,37,7221.38,0.26,4,9,0,24,1,1,9.24,0,0,1,0,83,0,39,0,6,781.42,67
"No System Name","com.evernote.edam.userstore","AuthenticationResult","AuthenticationResult",1,7,39,16,982.80,0.05,1,0,3,12,3,1,6.30,0,0,0,0,18,0,6,0,0,156.00,21
"No System Name","com.evernote.edam.userstore","BootstrapInfo","BootstrapInfo",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.evernote.edam.userstore","BootstrapInfo","BootstrapInfo",3,9,50,23,2590.77,0.08,4,4,0,9,1,1,11.45,1,0,2,1,29,0,7,0,2,226.18,21
"No System Name","com.evernote.edam.userstore","BootstrapInfo","BootstrapInfo",1,3,18,13,426.29,0.02,2,0,1,6,1,1,6.40,0,0,0,0,10,0,2,0,0,66.61,8
"No System Name","com.evernote.edam.userstore","BootstrapProfile","BootstrapProfile",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.evernote.edam.userstore","BootstrapProfile","BootstrapProfile",3,5,39,16,1248.00,0.05,2,3,0,8,1,1,8.00,0,0,1,0,23,0,8,0,2,156.00,16
"No System Name","com.evernote.edam.userstore","BootstrapProfile","BootstrapProfile",1,4,23,12,494.72,0.03,2,0,1,8,2,1,6.00,0,0,0,0,11,0,4,0,0,82.45,12
"No System Name","com.evernote.edam.userstore","BootstrapSettings","BootstrapSettings",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.evernote.edam.userstore","BootstrapSettings","BootstrapSettings",5,19,154,32,7869.40,0.26,2,5,0,24,1,1,10.22,0,0,1,0,81,0,49,0,4,770.00,73
"No System Name","com.evernote.edam.userstore","BootstrapSettings","BootstrapSettings",1,6,39,13,1360.70,0.05,1,0,1,12,4,1,9.43,0,0,0,0,17,0,8,0,0,144.32,22
"No System Name","com.evernote.clients","BusinessNoteStoreClient","BusinessNoteStoreClient",1,2,15,10,117.45,0.02,2,0,0,5,3,0,2.36,0,0,0,0,4,0,3,0,0,49.83,11
"No System Name","com.evernote.edam.type","BusinessNotebook","BusinessNotebook",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.evernote.edam.type","BusinessNotebook","BusinessNotebook",3,7,60,20,2024.66,0.09,2,3,0,10,1,1,7.81,0,0,1,0,31,0,17,0,2,259.32,29
"No System Name","com.evernote.edam.type","BusinessUserInfo","BusinessUserInfo",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.evernote.edam.type","BusinessUserInfo","BusinessUserInfo",4,9,75,22,2731.40,0.11,2,4,0,13,1,1,8.17,0,0,1,0,40,0,21,0,3,334.46,35
"No System Name","com.evernote.edam.type","BusinessUserRole","BusinessUserRole",1,2,12,10,179.38,0.01,0,0,0,3,1,1,4.50,0,0,0,0,6,0,2,0,0,39.86,6
"No System Name","com.evernote.edam.notestore","NoteStore$Client","Client",1,2,11,8,99.00,0.01,1,0,1,4,1,1,3.00,0,0,0,0,5,0,2,0,0,33.00,6
"No System Name","com.evernote.edam.userstore","UserStore$Client","Client",1,2,11,8,99.00,0.01,1,0,1,4,1,1,3.00,0,0,0,0,5,0,2,0,0,33.00,6
"No System Name","com.evernote.edam.notestore","NoteStore$Client","Client",1,3,16,11,207.57,0.02,1,0,0,5,2,1,3.75,0,0,0,0,7,0,4,0,0,55.35,9
"No System Name","com.evernote.edam.userstore","UserStore$Client","Client",1,3,16,11,207.57,0.02,1,0,0,5,2,1,3.75,0,0,0,0,7,0,4,0,0,55.35,9
"No System Name","com.evernote.clients","ClientFactory","ClientFactory",2,4,24,18,625.49,0.03,2,1,0,6,1,1,6.25,0,0,1,0,14,0,3,0,1,100.08,10
"No System Name","com.evernote.edam.notestore","ClientUsageMetrics","ClientUsageMetrics",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.evernote.edam.notestore","ClientUsageMetrics","ClientUsageMetrics",1,3,30,15,664.17,0.04,2,1,0,4,1,1,5.67,0,0,0,0,13,0,9,0,0,117.21,17
"No System Name","com.evernote.edam.type","Data","Data",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.evernote.edam.type","Data","Data",3,9,102,23,7860.34,0.15,2,3,0,12,1,1,17.04,0,0,1,0,49,0,31,0,2,461.40,53
"No System Name","JHawkDefaultPackage","EDAMDemo","EDAMDemo",2,9,91,41,3538.58,0.16,5,7,0,13,1,1,7.26,0,0,1,3,46,0,22,0,1,487.54,45
"No System Name","com.evernote.edam.error","EDAMErrorCode","EDAMErrorCode",1,2,12,10,179.38,0.01,0,0,0,3,1,1,4.50,0,0,0,0,6,0,2,0,0,39.86,6
"No System Name","com.evernote.edam.error","EDAMNotFoundException","EDAMNotFoundException",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.evernote.edam.error","EDAMNotFoundException","EDAMNotFoundException",3,5,36,14,1027.99,0.05,1,2,0,8,1,1,7.50,0,0,1,0,21,0,8,0,2,137.06,15
"No System Name","com.evernote.edam.error","EDAMSystemException","EDAMSystemException",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.evernote.edam.error","EDAMSystemException","EDAMSystemException",1,3,15,10,261.60,0.02,1,0,1,6,1,1,5.25,0,0,0,0,8,0,2,0,0,49.83,7
"No System Name","com.evernote.edam.error","EDAMSystemException","EDAMSystemException",3,7,60,20,2024.66,0.09,2,3,0,10,1,1,7.81,0,0,1,0,31,0,17,0,2,259.32,29
"No System Name","com.evernote.edam.error","EDAMUserException","EDAMUserException",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.evernote.edam.error","EDAMUserException","EDAMUserException",1,3,15,10,261.60,0.02,1,0,1,6,1,1,5.25,0,0,0,0,8,0,2,0,0,49.83,7
"No System Name","com.evernote.edam.error","EDAMUserException","EDAMUserException",3,5,36,14,1027.99,0.05,1,2,0,8,1,1,7.50,0,0,1,0,21,0,8,0,2,137.06,15
"No System Name","com.evernote.auth","EvernoteAuth","EvernoteAuth",2,5,38,21,1891.62,0.06,3,1,0,8,2,1,11.33,0,0,1,0,21,0,6,0,1,166.91,17
"No System Name","com.evernote.auth","EvernoteAuth","EvernoteAuth",2,8,73,25,5632.64,0.11,3,1,0,13,5,1,16.62,0,0,1,0,37,0,14,0,1,339.00,36
"No System Name","com.evernote.auth","EvernoteService","EvernoteService",1,2,12,10,179.38,0.01,1,0,0,3,1,1,4.50,0,0,0,0,6,0,2,0,0,39.86,6
"No System Name","com.evernote.thrift.protocol","TBinaryProtocol$Factory","Factory",1,2,9,8,54.00,0.01,0,0,1,3,0,1,2.00,0,0,0,0,5,0,0,0,0,27.00,4
"No System Name","com.evernote.thrift.protocol","TBinaryProtocol$Factory","Factory",1,2,14,10,139.52,0.02,0,0,1,3,2,1,3.00,0,0,0,0,5,0,2,0,0,46.51,9
"No System Name","com.evernote.thrift.protocol","TBinaryProtocol$Factory","Factory",1,4,22,14,302.47,0.03,0,0,0,5,3,1,3.61,0,0,0,0,9,0,6,0,0,83.76,13
"No System Name","com.evernote.edam.type","LazyMap","LazyMap",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.evernote.edam.type","LazyMap","LazyMap",5,21,126,37,9136.96,0.22,7,9,0,20,1,1,13.92,2,0,2,6,68,0,19,0,4,656.39,58
"No System Name","com.evernote.clients","LinkedNoteStoreClient","LinkedNoteStoreClient",1,4,27,12,553.11,0.03,2,0,0,7,3,0,5.71,0,0,0,0,11,0,6,0,0,96.79,16
"No System Name","com.evernote.edam.type","LinkedNotebook","LinkedNotebook",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.evernote.edam.type","LinkedNotebook","LinkedNotebook",10,22,173,35,8319.06,0.30,2,10,0,32,1,1,9.38,0,0,1,0,98,0,48,0,9,887.37,75
"No System Name","com.evernote.edam.type","Note","Note",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.evernote.edam.type","Note","Note",13,45,310,56,37554.68,0.60,7,15,0,49,1,1,20.86,3,0,2,3,172,0,76,0,12,1800.28,138
"No System Name","com.evernote.edam.type","NoteAttributes","NoteAttributes",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.evernote.edam.type","NoteAttributes","NoteAttributes",11,40,304,63,29928.59,0.61,7,16,0,48,1,1,16.47,1,0,2,5,164,0,80,0,10,1817.09,140
"No System Name","com.evernote.edam.notestore","NoteCollectionCounts","NoteCollectionCounts",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.evernote.edam.notestore","NoteCollectionCounts","NoteCollectionCounts",5,27,188,43,18362.48,0.34,7,8,0,26,1,1,18.00,2,0,2,10,95,0,33,0,4,1020.14,93
"No System Name","com.evernote.edam.notestore","NoteEmailParameters","NoteEmailParameters",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.evernote.edam.notestore","NoteEmailParameters","NoteEmailParameters",9,25,159,39,12325.56,0.28,5,9,0,28,1,1,14.67,2,0,2,2,93,0,30,0,8,840.38,66
"No System Name","com.evernote.edam.notestore","NoteFilter","NoteFilter",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.evernote.edam.notestore","NoteFilter","NoteFilter",7,21,147,39,11395.33,0.26,5,8,0,25,1,1,14.67,1,0,2,1,81,0,38,0,6,776.95,66
"No System Name","com.evernote.edam.notestore","NoteList","NoteList",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.evernote.edam.notestore","NoteList","NoteList",7,29,204,42,20460.61,0.37,6,8,0,27,1,1,18.60,3,0,2,3,111,0,36,0,6,1100.03,93
"No System Name","com.evernote.edam.notestore","NoteList","NoteList",1,7,50,23,1568.17,0.08,2,0,3,12,3,1,6.93,0,0,0,0,24,0,6,0,0,226.18,26
"No System Name","com.evernote.edam.notestore","NoteMetadata","NoteMetadata",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.evernote.edam.notestore","NoteMetadata","NoteMetadata",8,26,197,49,15963.68,0.37,6,10,0,31,1,1,14.43,1,0,2,1,108,0,51,0,7,1106.10,89
"No System Name","com.evernote.edam.notestore","NoteMetadata","NoteMetadata",1,3,15,10,261.60,0.02,1,0,1,6,1,1,5.25,0,0,0,0,8,0,2,0,0,49.83,7
"No System Name","com.evernote.edam.type","NoteSortOrder","NoteSortOrder",1,2,12,10,179.38,0.01,0,0,0,3,1,1,4.50,0,0,0,0,6,0,2,0,0,39.86,6
"No System Name","com.evernote.clients","NoteStoreClient","NoteStoreClient",2,5,47,23,1962.53,0.07,4,2,0,8,3,0,9.23,0,0,1,0,23,0,8,0,1,212.61,24
"No System Name","com.evernote.clients","NoteStoreClient","NoteStoreClient",2,5,40,22,1412.15,0.06,4,2,0,8,2,0,7.92,0,0,1,0,21,0,6,0,1,178.38,19
"No System Name","com.evernote.edam.notestore","NoteVersionId","NoteVersionId",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.evernote.edam.notestore","NoteVersionId","NoteVersionId",2,7,61,20,2200.36,0.09,2,2,0,9,1,1,8.35,0,0,1,0,30,0,19,0,1,263.64,31
"No System Name","com.evernote.edam.notestore","NoteVersionId","NoteVersionId",1,9,51,19,1399.86,0.07,1,0,4,15,4,1,6.46,0,0,0,0,23,0,8,0,0,216.64,28
"No System Name","com.evernote.edam.type","Notebook","Notebook",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.evernote.edam.type","Notebook","Notebook",12,37,264,55,24278.48,0.51,10,18,0,43,1,1,15.91,2,0,2,2,150,0,63,0,11,1526.28,114
