Package,Class,Name,COMP,NOA,VDEC,VREF,HLTH,HVOC,HVOL,HDIF,HEFF,HBUG,CAST,NOPR,NAND,CREF,XMET,LMET,EXCR,EXCT,MOD,NLOC
com.evernote.auth,AuthException,AuthException,1,2,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4,1,0,3,0,0,2
com.evernote.auth,AuthException,AuthException,1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,1,0,2,0,0,2
com.evernote.auth,EvernoteAuth,EvernoteAuth,3,2,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,5,2,0,1,0,1,6
com.evernote.auth,EvernoteAuth,EvernoteAuth,3,5,5,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,5,2,0,1,0,1,9
com.evernote.auth,EvernoteAuth,parseOAuthResponse,3,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,5,2,5,1,0,2,5
com.evernote.auth,EvernoteAuth,extractToken,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,1,0,0,1,1
com.evernote.auth,EvernoteAuth,extractNoteStoreUrl,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,1,0,0,1,1
com.evernote.auth,EvernoteAuth,extractWebApiUrl,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,1,0,0,1,1
com.evernote.auth,EvernoteAuth,extractUserId,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,1,0,0,1,1
com.evernote.auth,EvernoteAuth,extract,2,2,4,4,6.0,4.0,12.0,1.0,12.0,0.004,0,2,4,7,9,0,2,0,2,6
com.evernote.auth,EvernoteAuth,getToken,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,1
com.evernote.auth,EvernoteAuth,getUserStoreUrl,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,1,0,0,0,1,1
com.evernote.auth,EvernoteAuth,getNoteStoreUrl,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,1
com.evernote.auth,EvernoteAuth,setNoteStoreUrl,1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,0,0,0,1,2
com.evernote.auth,EvernoteAuth,getWebApiUrlPrefix,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,1
com.evernote.auth,EvernoteAuth,getUserId,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,1
com.evernote.auth,EvernoteService,values,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,2,1,0,0,0,2,1
com.evernote.auth,EvernoteService,valueOf,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,3,1,0,0,0,2,1
com.evernote.auth,EvernoteService,EvernoteService,1,3,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,1,0,0,0,1,3
com.evernote.auth,EvernoteService,getHost,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,1
com.evernote.auth,EvernoteService,getRequestTokenEndpoint,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,1,1
