System,Package,Class,Name, COMP, NOS, HLTH, HVOC, HEFF, HBUG, CREF, XMET, LMET, NLOC, NOA, MOD, HDIF, LOOP, EXCR, MDN, VDEC, NOPR, EXCT, VREF, CAST, TDN, HVOL, NAND
"No System Name","org.junit.rules","DisableOnDebugTest$AbstractDisableOnDebugTest","AbstractDisableOnDebugTest",1,2,21,17,434.55,0.03,4,2,0,4,1,1,5.06,0,0,0,0,12,0,2,0,0,85.84,9
"No System Name","junit.extensions","ActiveTestSuite","ActiveTestSuite",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","junit.extensions","ActiveTestSuite","ActiveTestSuite",1,2,15,13,266.43,0.02,3,0,0,3,1,1,4.80,0,0,0,0,9,0,1,0,0,55.51,6
"No System Name","junit.extensions","ActiveTestSuite","ActiveTestSuite",1,2,18,15,361.67,0.02,4,0,0,3,2,1,5.14,0,0,0,0,9,0,2,0,0,70.32,9
"No System Name","junit.extensions","ActiveTestSuite","ActiveTestSuite",1,2,10,8,75.00,0.01,1,0,0,3,1,1,2.50,0,0,0,0,5,0,1,0,0,30.00,5
"No System Name","org.junit.tests.running.classes","ParameterizedTestTest$AdditionTest","AdditionTest",1,4,28,12,803.03,0.03,0,0,0,5,3,1,8.00,0,0,0,0,12,0,6,0,0,100.38,16
"No System Name","org.junit.internal.builders","AllDefaultPossibilitiesBuilder","AllDefaultPossibilitiesBuilder",1,2,12,10,179.38,0.01,0,0,0,3,1,1,4.50,0,0,0,0,6,0,2,0,0,39.86,6
"No System Name","org.junit.experimental.theories.internal","AllMembersSupplier","AllMembersSupplier",1,2,10,9,99.06,0.01,1,0,0,3,1,1,3.12,0,0,0,0,5,0,2,0,0,31.70,5
"No System Name","org.junit.runners","AllTests","AllTests",1,2,15,13,266.43,0.02,2,0,0,3,1,1,4.80,0,0,0,0,9,0,1,0,0,55.51,6
"No System Name","org.junit.internal.builders","AnnotatedBuilder","AnnotatedBuilder",1,2,12,10,179.38,0.01,1,0,0,3,1,1,4.50,0,0,0,0,6,0,2,0,0,39.86,6
"No System Name","org.junit.internal","ArrayComparisonFailure","ArrayComparisonFailure",1,4,24,17,374.56,0.03,2,0,2,5,3,1,3.82,0,0,0,0,10,0,4,0,0,98.10,14
"No System Name","junit.framework","Assert","Assert",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","org.junit","Assert","Assert",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","junit.framework","AssertionFailedError","AssertionFailedError",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","junit.framework","AssertionFailedError","AssertionFailedError",1,2,12,9,91.29,0.01,1,0,1,3,1,1,2.40,0,0,0,0,6,0,1,0,0,38.04,6
"No System Name","org.junit.experimental.theories.internal","Assignments","Assignments",1,4,34,17,1111.79,0.05,4,0,0,6,3,1,8.00,0,0,0,0,16,0,6,0,0,138.97,18
"No System Name","org.junit","Assume","Assume",1,1,6,6,31.02,0.01,0,0,0,2,0,2,2.00,0,0,0,0,4,0,0,0,0,15.51,2
"No System Name","org.junit.tests.experimental","AssumptionTest$AssumptionFailureInConstructor","AssumptionFailureInConstructor",1,2,8,7,44.92,0.01,0,0,1,3,0,1,2.00,0,0,0,0,5,0,0,0,0,22.46,3
"No System Name","org.junit","AssumptionViolatedException","AssumptionViolatedException",1,2,19,12,340.57,0.02,2,0,0,3,2,1,5.00,0,0,0,0,9,0,2,0,0,68.11,10
"No System Name","org.junit.internal","AssumptionViolatedException","AssumptionViolatedException",1,2,20,17,399.66,0.03,3,0,1,3,2,2,4.89,0,0,0,0,9,0,2,0,0,81.75,11
"No System Name","org.junit","AssumptionViolatedException","AssumptionViolatedException",1,2,10,8,75.00,0.01,1,0,0,3,1,1,2.50,0,0,0,0,5,0,1,0,0,30.00,5
"No System Name","org.junit.internal","AssumptionViolatedException","AssumptionViolatedException",1,2,15,12,172.85,0.02,1,0,1,3,1,2,3.21,0,0,0,0,6,0,1,0,0,53.77,9
"No System Name","org.junit","AssumptionViolatedException","AssumptionViolatedException",1,2,22,14,408.34,0.03,3,0,0,3,3,1,4.88,0,0,0,0,9,0,3,0,0,83.76,13
"No System Name","org.junit.internal","AssumptionViolatedException","AssumptionViolatedException",2,7,53,29,2453.57,0.09,5,0,1,9,4,2,9.53,0,0,1,0,26,0,10,1,1,257.47,27
"No System Name","org.junit.internal","AssumptionViolatedException","AssumptionViolatedException",1,2,22,18,477.04,0.03,4,0,1,3,3,2,5.20,0,0,0,0,9,0,3,0,0,91.74,13
"No System Name","org.junit","AssumptionViolatedException","AssumptionViolatedException",1,2,13,10,115.16,0.01,2,0,0,3,2,1,2.67,0,0,0,0,5,0,2,0,0,43.19,8
"No System Name","org.junit.internal","AssumptionViolatedException","AssumptionViolatedException",1,3,21,15,266.65,0.03,2,0,2,4,2,2,3.25,0,0,0,0,8,0,2,0,0,82.04,13
"No System Name","org.junit.tests.running.classes","ParentRunnerTest$FruitTest","Banana",1,2,11,11,114.16,0.01,0,0,0,3,0,2,3.00,0,0,0,0,6,0,1,0,0,38.05,5
"No System Name","org.junit.tests.running.classes","ParameterizedTestTest$BeforeAndAfter","BeforeAndAfter",1,1,6,6,23.26,0.01,0,0,0,2,1,1,1.50,0,0,0,0,3,0,0,0,0,15.51,3
"No System Name","org.junit.runners","BlockJUnit4ClassRunner","BlockJUnit4ClassRunner",1,2,15,13,266.43,0.02,2,0,0,3,1,1,4.80,0,0,0,0,9,0,1,0,0,55.51,6
"No System Name","org.junit.runners.parameterized","BlockJUnit4ClassRunnerWithParameters","BlockJUnit4ClassRunnerWithParameters",1,4,45,23,1243.17,0.07,2,7,0,7,1,1,6.11,0,0,0,0,26,0,6,0,0,203.56,19
"No System Name","org.junit.internal.runners.statements","FailOnTimeout$Builder","Builder",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","org.junit.rules","TemporaryFolder$Builder","Builder",1,1,4,4,12.00,0.00,0,0,0,1,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","org.junit.rules","Timeout$Builder","Builder",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
