System,Package,Class,Name, COMP, NOS, HLTH, HVOC, HEFF, HBUG, CREF, XMET, LMET, NLOC, NOA, MOD, HDIF, LOOP, EXCR, MDN, VDEC, NOPR, EXCT, VREF, CAST, TDN, HVOL, NAND
"No System Name","org.roaringbitmap","TestRoaringBitmap","ANDNOTtest",14,64,363,47,72709.57,0.67,2,5,0,39,0,2,36.06,13,0,1,16,193,0,58,0,6,2016.32,170
"No System Name","org.roaringbitmap.buffer","TestImmutableRoaringBitmap","ANDNOTtest",14,64,363,47,72709.57,0.67,2,5,0,39,0,2,36.06,13,0,1,16,193,0,58,0,6,2016.32,170
"No System Name","org.roaringbitmap.buffer","TestRoaringBitmap","ANDNOTtest",14,64,363,47,72709.57,0.67,2,5,0,39,0,2,36.06,13,0,1,16,193,0,58,0,6,2016.32,170
"No System Name","org.roaringbitmap","TestRoaringBitmap","ANDtest",14,64,363,47,72709.57,0.67,2,5,0,39,0,2,36.06,13,0,1,16,193,0,58,0,6,2016.32,170
"No System Name","org.roaringbitmap.buffer","TestRoaringBitmap","ANDtest",14,64,363,47,72709.57,0.67,2,5,0,39,0,2,36.06,13,0,1,16,193,0,58,0,6,2016.32,170
"No System Name","org.roaringbitmap","ArrayContainer","ArrayContainer",1,2,8,7,44.92,0.01,0,0,1,3,0,1,2.00,0,0,0,0,5,0,1,0,0,22.46,3
"No System Name","org.roaringbitmap","ArrayContainer","ArrayContainer",1,2,14,13,248.67,0.02,0,0,0,3,1,1,4.80,0,0,0,0,8,0,2,0,0,51.81,6
"No System Name","org.roaringbitmap","ArrayContainer","ArrayContainer",2,8,55,25,4225.91,0.09,0,0,0,7,2,1,16.55,1,0,0,2,29,0,13,1,0,255.41,26
"No System Name","org.roaringbitmap","ArrayContainer","ArrayContainer",1,3,26,17,520.74,0.04,1,1,0,4,2,1,4.90,0,0,0,0,12,0,5,0,0,106.27,14
"No System Name","org.roaringbitmap","ArrayContainer","ArrayContainer",1,3,21,14,399.77,0.03,0,0,0,4,1,1,5.00,0,0,0,0,11,0,5,0,0,79.95,10
"No System Name","org.roaringbitmap","TestRoaringBitmap","ArrayContainerCardinalityTest",3,14,77,27,5949.55,0.12,2,4,0,11,0,2,16.25,2,0,1,3,42,0,11,0,2,366.13,35
"No System Name","org.roaringbitmap.buffer","TestRoaringBitmap","ArrayContainerCardinalityTest",3,14,77,27,5949.55,0.12,2,4,0,11,0,2,16.25,2,0,1,3,42,0,11,0,2,366.13,35
"No System Name","org.roaringbitmap","ArrayContainerShortIterator","ArrayContainerShortIterator",1,1,3,3,4.75,0.00,0,0,0,2,0,0,1.00,0,0,0,0,2,0,0,0,0,4.75,1
"No System Name","org.roaringbitmap","ArrayContainerShortIterator","ArrayContainerShortIterator",1,2,9,7,47.37,0.01,1,0,1,3,1,0,1.88,0,0,0,0,4,0,1,0,0,25.27,5
"No System Name","org.roaringbitmap.iteration","IteratorsBenchmark$BenchmarkState","BenchmarkState",2,8,55,29,2263.25,0.09,2,4,1,7,0,1,8.47,1,0,0,2,31,0,7,0,0,267.19,24
"No System Name","org.roaringbitmap.serialization","SerializationBenchmark$BenchmarkState","BenchmarkState",3,17,119,44,8904.99,0.22,7,12,1,18,0,1,13.71,1,1,1,3,66,0,19,0,3,649.67,53
"No System Name","org.roaringbitmap","BitmapContainer","BitmapContainer",1,3,21,17,434.55,0.03,0,0,0,4,0,1,5.06,0,0,0,0,12,0,3,0,0,85.84,9
"No System Name","org.roaringbitmap","BitmapContainer","BitmapContainer",2,13,142,39,20907.54,0.25,1,1,0,17,2,1,27.86,0,0,1,6,77,0,24,0,1,750.53,65
"No System Name","org.roaringbitmap","BitmapContainer","BitmapContainer",1,3,28,18,557.25,0.04,1,1,0,4,2,1,4.77,0,0,0,0,13,0,6,0,0,116.76,15
