System,Package,Class,Name, COMP, NOS, HLTH, HVOC, HEFF, HBUG, CREF, XMET, LMET, NLOC, NOA, MOD, HDIF, LOOP, EXCR, MDN, VDEC, NOPR, EXCT, VREF, CAST, TDN, HVOL, NAND
"No System Name","com.lambdaworks.jni","Platform$Arch","Arch",1,2,20,15,286.51,0.03,3,1,0,3,1,0,3.67,0,0,0,0,9,0,2,0,0,78.14,11
"No System Name","com.lambdaworks.jni","JarLibraryLoader","JarLibraryLoader",1,2,17,11,211.72,0.02,1,1,1,3,0,1,3.60,0,0,0,0,11,0,0,0,0,58.81,6
"No System Name","com.lambdaworks.jni","JarLibraryLoader","JarLibraryLoader",1,3,20,12,394.35,0.02,2,0,0,4,2,1,5.50,0,0,0,0,9,0,4,0,0,71.70,11
"No System Name","com.lambdaworks.jni","Platform$OS","OS",1,2,20,15,286.51,0.03,3,1,0,3,1,0,3.67,0,0,0,0,9,0,2,0,0,78.14,11
"No System Name","com.lambdaworks.jni","Platform","Platform",1,3,20,12,394.35,0.02,2,0,0,4,2,1,5.50,0,0,0,0,9,0,4,0,0,71.70,11
"No System Name","com.lambdaworks.crypto","SCrypt","R",1,2,27,15,1160.35,0.04,0,0,0,3,2,2,11.00,0,0,0,0,16,0,4,0,0,105.49,11
"No System Name","com.lambdaworks.jni","UnsupportedPlatformException","UnsupportedPlatformException",1,2,10,8,75.00,0.01,1,0,0,3,1,1,2.50,0,0,0,0,5,0,1,0,0,30.00,5
"No System Name","com.lambdaworks.jni.test","PlatformTest","arch",1,4,48,20,1396.32,0.07,2,0,2,5,0,2,6.73,0,0,0,0,23,1,9,0,0,207.45,25
"No System Name","com.lambdaworks.jni.test","LibraryLoadersTest","autoDetectLoader",1,3,25,17,429.18,0.03,3,0,2,4,0,2,4.20,0,0,0,0,13,1,0,0,0,102.19,12
"No System Name","com.lambdaworks.crypto","SCrypt","blockmix_salsa8",4,21,156,31,26413.44,0.26,0,0,3,16,4,2,34.18,3,0,1,2,73,0,37,0,3,772.85,83
"No System Name","com.lambdaworks.crypto","SCrypt","blockxor",2,6,44,23,2605.57,0.07,0,0,0,5,5,2,13.09,1,0,1,1,20,0,9,0,1,199.04,24
