Package,Class,Name,COMP,NOA,VDEC,VREF,HLTH,HVOC,HVOL,HDIF,HEFF,HBUG,CAST,NOPR,NAND,CREF,XMET,LMET,EXCR,EXCT,MOD,NLOC
com.lambdaworks.codec,Base64,Base64,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,1,0,0,0,1,1
com.lambdaworks.codec,Base64,decode,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,2,1
com.lambdaworks.codec,Base64,encode,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,2,1
com.lambdaworks.codec,Base64,encode,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,2,1
com.lambdaworks.codec,Base64,decode,7,3,13,12,151.0,28.0,725.9105932306982,130.0,94368.37711999076,0.24197019774356607,0,53,98,0,0,0,0,0,2,23
com.lambdaworks.codec,Base64,encode,9,3,12,11,183.0,31.0,906.6179248007983,160.0,145058.8679681277,0.3022059749335994,0,65,118,0,0,0,0,0,2,25
com.lambdaworks.crypto,PBKDF,PBKDF,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,1,0,0,0,1,1
com.lambdaworks.crypto,PBKDF,pbkdf2,1,5,7,7,6.0,5.0,13.931568569324174,1.0,13.931568569324174,0.004643856189774725,0,2,4,4,3,1,1,1,2,5
com.lambdaworks.crypto,PBKDF,pbkdf2,6,5,14,14,114.0,33.0,575.0609296068637,57.0,32778.47298759123,0.19168697653562125,0,39,75,4,7,0,1,1,2,24
com.lambdaworks.crypto,SCrypt,SCrypt,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,1,0,0,0,1,1
com.lambdaworks.crypto,SCrypt,scrypt,2,6,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,2,1,1,2,1
com.lambdaworks.crypto,SCrypt,scryptN,2,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0
com.lambdaworks.crypto,SCrypt,scryptJ,6,6,12,12,59.0,21.0,259.14672794394687,20.0,5182.934558878937,0.08638224264798229,0,20,39,5,5,1,2,1,2,14
com.lambdaworks.crypto,SCrypt,smix,3,6,10,10,52.0,15.0,203.15831097164298,27.0,5485.27439623436,0.06771943699054765,0,18,34,2,1,3,0,0,2,12
com.lambdaworks.crypto,SCrypt,blockmix_salsa8,4,4,6,6,78.0,14.0,296.9736839204931,65.0,19303.28945483205,0.0989912279734977,0,27,51,2,1,2,0,0,2,11
com.lambdaworks.crypto,SCrypt,R,1,2,2,2,12.0,7.0,33.68825906469125,4.0,134.753036258765,0.011229419688230418,0,4,8,0,0,0,0,0,2,1
com.lambdaworks.crypto,SCrypt,salsa20_8,5,1,4,4,447.0,56.0,2595.8876501597492,450.0,1168149.442571887,0.865295883386583,0,150,297,2,1,1,0,0,2,32
com.lambdaworks.crypto,SCrypt,blockxor,2,5,6,6,17.0,9.0,53.88872502451932,6.0,323.3323501471159,0.017962908341506437,0,6,11,0,0,0,0,0,2,3
com.lambdaworks.crypto,SCrypt,integerify,1,3,4,4,72.0,20.0,311.1788228318901,36.0,11202.437621948044,0.1037262742772967,0,24,48,0,0,0,0,0,2,6
com.lambdaworks.crypto,SCryptUtil,SCryptUtil,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,1,0,0,0,1,1
com.lambdaworks.crypto,SCryptUtil,scrypt,1,4,10,8,36.0,18.0,150.11730005192322,6.0,900.7038003115393,0.05003910001730774,0,12,24,10,12,1,3,0,2,13
com.lambdaworks.crypto,SCryptUtil,check,6,2,14,12,62.0,27.0,294.8030251341351,10.0,2948.0302513413512,0.0982676750447117,0,21,41,9,10,0,4,0,2,19
com.lambdaworks.crypto,SCryptUtil,log2,5,1,2,2,39.0,12.0,139.8135375281251,18.0,2516.643675506252,0.04660451250937503,0,13,26,0,0,0,0,0,2,6
