System,Package,Class,Name, COMP, NOS, HLTH, HVOC, HEFF, HBUG, CREF, XMET, LMET, NLOC, NOA, MOD, HDIF, LOOP, EXCR, MDN, VDEC, NOPR, EXCT, VREF, CAST, TDN, HVOL, NAND
"No System Name","org.sqlite","InsertQueryTest$BD","BD",1,3,20,11,456.64,0.02,1,0,0,5,2,1,6.60,0,0,0,0,9,0,4,0,0,69.19,11
"No System Name","org.sqlite","ExtendedCommand$BackupCommand","BackupCommand",1,3,20,11,456.64,0.02,1,0,0,4,2,1,6.60,0,0,0,0,9,0,4,0,0,69.19,11
"No System Name","org.sqlite.core","CoreConnection","CoreConnection",2,15,136,45,8094.99,0.25,5,11,2,19,3,1,10.84,0,0,1,1,69,0,32,1,1,746.89,67
"No System Name","org.sqlite.core","CoreDatabaseMetaData","CoreDatabaseMetaData",1,2,12,10,179.38,0.01,1,0,0,3,1,1,4.50,0,0,0,0,6,0,2,0,0,39.86,6
"No System Name","org.sqlite.core","CorePreparedStatement","CorePreparedStatement",1,9,60,29,1437.52,0.10,2,4,0,10,2,1,4.93,0,0,0,0,29,0,16,0,0,291.48,31
"No System Name","org.sqlite.core","CoreResultSet","CoreResultSet",1,3,20,11,415.13,0.02,1,0,0,4,1,1,6.00,0,0,0,0,10,0,5,0,0,69.19,10
"No System Name","org.sqlite.core","CoreStatement","CoreStatement",1,4,24,15,451.25,0.03,2,2,0,5,1,1,4.81,0,0,0,0,13,0,5,0,0,93.77,11
"No System Name","org.sqlite","SQLiteConfig$Encoding","Encoding",1,2,12,10,179.38,0.01,1,0,0,3,1,1,4.50,0,0,0,0,6,0,2,0,0,39.86,6
"No System Name","org.sqlite","SQLiteConfig$Encoding","Encoding",1,2,15,11,217.94,0.02,1,1,0,3,1,1,4.20,0,0,0,0,8,0,2,0,0,51.89,7
"No System Name","org.sqlite.jdbc3","JDBC3Connection","JDBC3Connection",1,2,18,13,249.78,0.02,2,0,0,3,3,1,3.75,0,0,0,0,6,0,3,0,0,66.61,12
