System,Package,Class,Name, COMP, NOS, HLTH, HVOC, HEFF, HBUG, CREF, XMET, LMET, NLOC, NOA, MOD, HDIF, LOOP, EXCR, MDN, VDEC, NOPR, EXCT, VREF, CAST, TDN, HVOL, NAND
"No System Name","com.sk89q.worldguard.blacklist.event","AbstractBlacklistEvent","AbstractBlacklistEvent",1,6,37,16,932.40,0.05,3,0,1,7,3,0,6.30,0,0,0,0,16,0,8,0,0,148.00,21
"No System Name","com.sk89q.worldguard.bukkit.event.block","AbstractBlockEvent","AbstractBlockEvent",1,2,30,20,527.89,0.04,4,2,2,3,4,1,4.07,0,0,0,0,11,0,5,0,0,129.66,19
"No System Name","com.sk89q.worldguard.bukkit.event.block","AbstractBlockEvent","AbstractBlockEvent",1,8,54,25,2186.39,0.08,6,0,1,9,5,1,8.72,0,0,0,0,23,0,11,0,0,250.77,31
"No System Name","com.sk89q.worldguard.bukkit.event.block","AbstractBlockEvent","AbstractBlockEvent",1,2,30,19,529.36,0.04,3,2,3,3,3,1,4.15,0,0,0,0,12,0,5,0,0,127.44,18
"No System Name","com.sk89q.worldguard.bukkit.event.entity","AbstractEntityEvent","AbstractEntityEvent",1,5,33,20,729.57,0.05,3,0,1,6,3,1,5.12,0,0,0,0,14,0,6,0,0,142.62,19
"No System Name","com.sk89q.worldguard.bukkit.event.entity","AbstractEntityEvent","AbstractEntityEvent",1,5,36,20,837.79,0.05,3,1,1,6,3,1,5.38,0,0,0,0,16,0,7,0,0,155.59,20
"No System Name","com.sk89q.worldguard.bukkit.listener.debounce.legacy","AbstractEventDebounce","AbstractEventDebounce",1,2,54,33,1945.69,0.09,3,2,0,12,1,0,7.14,0,0,0,0,29,0,3,0,0,272.40,25
"No System Name","com.sk89q.worldguard.bukkit.listener","AbstractListener","AbstractListener",1,3,16,11,265.68,0.02,1,0,1,4,1,1,4.80,0,0,0,0,8,0,3,0,0,55.35,8
"No System Name","com.sk89q.worldguard.protection.managers.migration","AbstractMigration","AbstractMigration",1,3,16,11,265.68,0.02,1,0,1,4,1,1,4.80,0,0,0,0,8,0,3,0,0,55.35,8
"No System Name","com.sk89q.worldguard.bukkit.permission","AbstractPermissionModel","AbstractPermissionModel",1,3,20,12,394.35,0.02,2,0,0,4,2,1,5.50,0,0,0,0,9,0,4,0,0,71.70,11
